,0
BACKDOOR_MALWARE,0
BENIGN,1
BROWSERHIJACKING,2
COMMANDINJECTION,3
DDOS-ACK_FRAGMENTATION,4
DDOS-HTTP_FLOOD,5
DDOS-ICMP_FLOOD,6
DDOS-ICMP_FRAGMENTATION,7
DDOS-PSHACK_FLOOD,8
DDOS-RSTFINFLOOD,9
DDOS-SLOWLORIS,10
DDOS-SYNONYMOUSIP_FLOOD,11
DDOS-SYN_FLOOD,12
DDOS-TCP_FLOOD,13
DDOS-UDP_FLOOD,14
DDOS-UDP_FRAGMENTATION,15
DICTIONARYBRUTEFORCE,16
DNS_SPOOFING,17
DOS-HTTP_FLOOD,18
DOS-SYN_FLOOD,19
DOS-TCP_FLOOD,20
DOS-UDP_FLOOD,21
MIRAI-GREETH_FLOOD,22
MIRAI-GREIP_FLOOD,23
MIRAI-UDPPLAIN,24
MITM-ARPSPOOFING,25
RECON-HOSTDISCOVERY,26
RECON-OSSCAN,27
RECON-PINGSWEEP,28
RECON-PORTSCAN,29
SQLINJECTION,30
UPLOADING_ATTACK,31
VULNERABILITYSCAN,32
XSS,33
